reference;IDP;Model;Capacity;Color;Grade;Ireland Stock
18-BAS1224;31180;iPhone 6S;16;Silver;Grade C;0
18-BAS1225;74815;iPhone 6S;32;Silver;Grade C;0
18-BAS1226;33291;iPhone 6S;64;Silver;Grade C;0
18-BAS1227;43918;iPhone 6S;128;Silver;Grade C;7
18-BAS1228;31182;iPhone 6S;16;Pink;Grade C;0
18-BAS1229;74805;iPhone 6S;32;Pink;Grade C;325
18-BAS1230;33316;iPhone 6S;64;Pink;Grade C;8
18-BAS1231;43903;iPhone 6S;128;Pink;Grade C;57
18-BAS1232;30743;iPhone 6S;16;Gold;Grade C;0
18-BAS1233;74810;iPhone 6S;32;Gold;Grade C;15
18-BAS1234;33280;iPhone 6S;64;Gold;Grade C;0
18-BAS1235;43932;iPhone 6S;128;Gold;Grade C;18
18-BAS1236;31178;iPhone 6S;16;Grey;Grade C;0
18-BAS1237;74798;iPhone 6S;32;Grey;Grade C;238
18-BAS1238;33259;iPhone 6S;64;Grey;Grade C;168
18-BAS1239;43914;iPhone 6S;128;Grey;Grade C;230
18-ECO1240;26387;iPhone 6S;16;Silver;Grade D;0
18-ECO1241;74816;iPhone 6S;32;Silver;Grade D;0
18-ECO1242;33293;iPhone 6S;64;Silver;Grade D;2
18-ECO1243;43919;iPhone 6S;128;Silver;Grade D;4
18-ECO1244;31253;iPhone 6S;16;Pink;Grade D;0
18-ECO1245;74806;iPhone 6S;32;Pink;Grade D;23
18-ECO1246;33318;iPhone 6S;64;Pink;Grade D;73
18-ECO1247;43904;iPhone 6S;128;Pink;Grade D;27
18-ECO1248;31013;iPhone 6S;16;Gold;Grade D;0
18-ECO1249;74811;iPhone 6S;32;Gold;Grade D;3
18-ECO1250;33283;iPhone 6S;64;Gold;Grade D;0
18-ECO1251;43934;iPhone 6S;128;Gold;Grade D;1
18-ECO1252;31214;iPhone 6S;16;Grey;Grade D;0
18-ECO1253;74799;iPhone 6S;32;Grey;Grade D;100
18-ECO1254;33265;iPhone 6S;64;Grey;Grade D;72
18-ECO1255;43915;iPhone 6S;128;Grey;Grade D;56
18-MED1208;26386;iPhone 6S;16;Silver;Grade B;0
18-MED1209;74814;iPhone 6S;32;Silver;Grade B;0
18-MED1210;38582;iPhone 6S;64;Silver;Grade B;0
18-MED1211;43917;iPhone 6S;128;Silver;Grade B;0
18-MED1212;31252;iPhone 6S;16;Pink;Grade B;0
18-MED1213;74803;iPhone 6S;32;Pink;Grade B;40
18-MED1214;33310;iPhone 6S;64;Pink;Grade B;0
18-MED1215;43901;iPhone 6S;128;Pink;Grade B;10
18-MED1216;38975;iPhone 6S;16;Gold;Grade B;4
18-MED1217;74809;iPhone 6S;32;Gold;Grade B;7
18-MED1218;39252;iPhone 6S;64;Gold;Grade B;0
18-MED1219;43933;iPhone 6S;128;Gold;Grade B;1
18-MED1220;31208;iPhone 6S;16;Grey;Grade B;0
18-MED1221;74797;iPhone 6S;32;Grey;Grade B;0
18-MED1222;41182;iPhone 6S;64;Grey;Grade B;0
18-MED1223;43913;iPhone 6S;128;Grey;Grade B;4
18-PRE1192;7207;iPhone 6S;16;Silver;Grade A;0
18-PRE1193;74813;iPhone 6S;32;Silver;Grade A;0
18-PRE1194;33289;iPhone 6S;64;Silver;Grade A;3
18-PRE1195;51805;iPhone 6S;128;Silver;Grade A;3
18-PRE1196;31261;iPhone 6S;16;Pink;Grade A;0
18-PRE1197;74802;iPhone 6S;32;Pink;Grade A;6
18-PRE1198;37356;iPhone 6S;64;Pink;Grade A;381
18-PRE1199;51808;iPhone 6S;128;Pink;Grade A;3
18-PRE1200;31009;iPhone 6S;16;Gold;Grade A;0
18-PRE1201;74808;iPhone 6S;32;Gold;Grade A;0
18-PRE1202;49225;iPhone 6S;64;Gold;Grade A;5
18-PRE1203;51204;iPhone 6S;128;Gold;Grade A;0
18-PRE1204;33282;iPhone 6S;16;Grey;Grade A;0
18-PRE1205;74795;iPhone 6S;32;Grey;Grade A;0
18-PRE1206;51806;iPhone 6S;64;Grey;Grade A;0
18-PRE1207;51807;iPhone 6S;128;Grey;Grade A;1
19-BAS184;16271;iPhone 4S;8;White;Grade C;0
19-BAS185;7064;iPhone 4S;16;White;Grade C;0
19-BAS186;19575;iPhone 4S;32;White;Grade C;0
19-BAS187;27996;iPhone 4S;8;Black;Grade C;0
19-BAS188;7127;iPhone 4S;16;Black;Grade C;0
19-BAS189;19571;iPhone 4S;32;Black;Grade C;0
19-ECO190;20485;iPhone 4S;8;White;Grade D;0
19-ECO191;30501;iPhone 4S;16;White;Grade D;0
19-ECO192;19588;iPhone 4S;32;White;Grade D;0
19-ECO193;29398;iPhone 4S;8;Black;Grade D;0
19-ECO194;37573;iPhone 4S;16;Black;Grade D;0
19-ECO195;19584;iPhone 4S;32;Black;Grade D;0
19-MED178;20484;iPhone 4S;8;White;Grade B;0
19-MED179;19371;iPhone 4S;16;White;Grade B;0
19-MED180;7056;iPhone 4S;32;White;Grade B;0
19-MED181;16270;iPhone 4S;8;Black;Grade B;0
19-MED182;19367;iPhone 4S;16;Black;Grade B;0
19-MED183;7749;iPhone 4S;32;Black;Grade B;0
19-PRE172;20483;iPhone 4S;8;White;Grade A;0
19-PRE173;19370;iPhone 4S;16;White;Grade A;0
19-PRE174;19586;iPhone 4S;32;White;Grade A;0
19-PRE175;19374;iPhone 4S;8;Black;Grade A;0
19-PRE176;19648;iPhone 4S;16;Black;Grade A;0
19-PRE177;19582;iPhone 4S;32;Black;Grade A;0
20-BAS204;7040;iPhone 4;8;White;Grade C;0
20-BAS205;7088;iPhone 4;16;White;Grade C;0
20-BAS206;7072;iPhone 4;8;Black;Grade C;0
20-BAS207;7750;iPhone 4;16;Black;Grade C;0
20-ECO208;19364;iPhone 4;8;White;Grade D;0
20-ECO209;20496;iPhone 4;16;White;Grade D;0
20-ECO210;19580;iPhone 4;8;Black;Grade D;0
20-ECO211;30512;iPhone 4;16;Black;Grade D;0
20-MED200;20495;iPhone 4;8;White;Grade B;0
20-MED201;20497;iPhone 4;16;White;Grade B;0
20-MED202;19579;iPhone 4;8;Black;Grade B;0
20-MED203;19351;iPhone 4;16;Black;Grade B;0
20-PRE196;19644;iPhone 4;8;White;Grade A;0
20-PRE197;19354;iPhone 4;16;White;Grade A;0
20-PRE198;19358;iPhone 4;8;Black;Grade A;0
20-PRE199;19350;iPhone 4;16;Black;Grade A;0
21-BAS236;13454;iPhone 6;16;Grey;Grade C;0
21-BAS237;74972;iPhone 6;32;Grey;Grade C;0
21-BAS238;15958;iPhone 6;64;Grey;Grade C;0
21-BAS239;15053;iPhone 6;128;Grey;Grade C;0
21-BAS240;13455;iPhone 6;16;Silver;Grade C;0
21-BAS242;15956;iPhone 6;64;Silver;Grade C;0
21-BAS243;15047;iPhone 6;128;Silver;Grade C;0
21-BAS244;29527;iPhone 6;16;Gold;Grade C;0
21-BAS245;74995;iPhone 6;32;Gold;Grade C;0
21-BAS246;15962;iPhone 6;64;Gold;Grade C;0
21-BAS247;15057;iPhone 6;128;Gold;Grade C;0
21-ECO248;68703;iPhone 6;16;Grey;Grade D;0
21-ECO249;74982;iPhone 6;32;Grey;Grade D;0
21-ECO250;19519;iPhone 6;64;Grey;Grade D;0
21-ECO251;19495;iPhone 6;128;Grey;Grade D;0
21-ECO252;19515;iPhone 6;16;Silver;Grade D;0
21-ECO254;19527;iPhone 6;64;Silver;Grade D;0
21-ECO255;19503;iPhone 6;128;Silver;Grade D;0
21-ECO256;19510;iPhone 6;16;Gold;Grade D;0
21-ECO257;74996;iPhone 6;32;Gold;Grade D;0
21-ECO258;19523;iPhone 6;64;Gold;Grade D;0
21-ECO259;19499;iPhone 6;128;Gold;Grade D;0
21-MED224;58245;iPhone 6;16;Grey;Grade B;0
21-MED225;74970;iPhone 6;32;Grey;Grade B;0
21-MED226;19518;iPhone 6;64;Grey;Grade B;0
21-MED227;37377;iPhone 6;128;Grey;Grade B;0
21-MED228;19512;iPhone 6;16;Silver;Grade B;0
21-MED230;19526;iPhone 6;64;Silver;Grade B;0
21-MED231;19502;iPhone 6;128;Silver;Grade B;0
21-MED232;13466;iPhone 6;16;Gold;Grade B;0
21-MED233;74994;iPhone 6;32;Gold;Grade B;19
21-MED234;19521;iPhone 6;64;Gold;Grade B;2
21-MED235;19498;iPhone 6;128;Gold;Grade B;0
21-PRE212;19276;iPhone 6;16;Grey;Grade A;0
21-PRE213;17536;iPhone 6;32;Grey;Grade A;0
21-PRE214;19517;iPhone 6;64;Grey;Grade A;0
21-PRE215;19493;iPhone 6;128;Grey;Grade A;0
21-PRE216;37363;iPhone 6;16;Silver;Grade A;0
21-PRE218;19525;iPhone 6;64;Silver;Grade A;0
21-PRE219;19501;iPhone 6;128;Silver;Grade A;0
21-PRE220;19508;iPhone 6;16;Gold;Grade A;60
21-PRE221;74993;iPhone 6;32;Gold;Grade A;0
21-PRE222;52063;iPhone 6;64;Gold;Grade A;3
21-PRE223;19497;iPhone 6;128;Gold;Grade A;0
22-BAS272;6988;iPhone 5;16;White;Grade C;94
22-BAS273;27941;iPhone 5;32;White;Grade C;0
22-BAS274;34827;iPhone 5;64;White;Grade C;0
22-BAS275;6987;iPhone 5;16;Black;Grade C;446
22-BAS276;16059;iPhone 5;32;Black;Grade C;0
22-BAS277;35566;iPhone 5;64;Black;Grade C;0
22-ECO278;30011;iPhone 5;16;White;Grade D;222
22-ECO279;19392;iPhone 5;32;White;Grade D;0
22-ECO280;38298;iPhone 5;64;White;Grade D;0
22-ECO281;19380;iPhone 5;16;Black;Grade D;287
22-ECO282;19388;iPhone 5;32;Black;Grade D;0
22-ECO283;46011;iPhone 5;64;Black;Grade D;0
22-MED266;19383;iPhone 5;16;White;Grade B;0
22-MED267;16058;iPhone 5;32;White;Grade B;0
22-MED268;38297;iPhone 5;64;White;Grade B;0
22-MED269;19379;iPhone 5;16;Black;Grade B;0
22-MED270;19387;iPhone 5;32;Black;Grade B;0
22-MED271;46008;iPhone 5;64;Black;Grade B;0
22-PRE260;19382;iPhone 5;16;White;Grade A;0
22-PRE261;19390;iPhone 5;32;White;Grade A;0
22-PRE262;51582;iPhone 5;64;White;Grade A;0
22-PRE263;19633;iPhone 5;16;Black;Grade A;0
22-PRE264;19386;iPhone 5;32;Black;Grade A;0
22-PRE265;51581;iPhone 5;64;Black;Grade A;0
23-BAS314;16658;iPhone 5C;8;White;Grade C;0
23-BAS315;13429;iPhone 5C;16;White;Grade C;0
23-BAS316;16053;iPhone 5C;32;White;Grade C;0
23-BAS317;16654;iPhone 5C;8;Blue;Grade C;0
23-BAS318;13416;iPhone 5C;16;Blue;Grade C;0
23-BAS319;16052;iPhone 5C;32;Blue;Grade C;0
23-BAS320;17844;iPhone 5C;8;Green;Grade C;0
23-BAS321;13413;iPhone 5C;16;Green;Grade C;0
23-BAS322;16055;iPhone 5C;32;Green;Grade C;0
23-BAS323;16656;iPhone 5C;8;Yellow;Grade C;0
23-BAS324;13405;iPhone 5C;16;Yellow;Grade C;1
23-BAS325;16054;iPhone 5C;32;Yellow;Grade C;0
23-BAS326;28674;iPhone 5C;8;Pink;Grade C;0
23-BAS327;13391;iPhone 5C;16;Pink;Grade C;0
23-BAS328;16056;iPhone 5C;32;Pink;Grade C;141
23-ECO329;19436;iPhone 5C;8;White;Grade D;0
23-ECO330;53140;iPhone 5C;16;White;Grade D;204
23-ECO331;19416;iPhone 5C;32;White;Grade D;0
23-ECO332;19440;iPhone 5C;8;Blue;Grade D;0
23-ECO333;30506;iPhone 5C;16;Blue;Grade D;25
23-ECO334;30514;iPhone 5C;32;Blue;Grade D;0
23-ECO335;19454;iPhone 5C;8;Green;Grade D;0
23-ECO336;30511;iPhone 5C;16;Green;Grade D;13
23-ECO337;19432;iPhone 5C;32;Green;Grade D;0
23-ECO338;19445;iPhone 5C;8;Yellow;Grade D;0
23-ECO339;19404;iPhone 5C;16;Yellow;Grade D;0
23-ECO340;19424;iPhone 5C;32;Yellow;Grade D;0
23-ECO341;19449;iPhone 5C;8;Pink;Grade D;0
23-ECO342;30510;iPhone 5C;16;Pink;Grade D;0
23-ECO343;30515;iPhone 5C;32;Pink;Grade D;31
23-MED299;19435;iPhone 5C;8;White;Grade B;0
23-MED300;19395;iPhone 5C;16;White;Grade B;0
23-MED301;19415;iPhone 5C;32;White;Grade B;0
23-MED302;19439;iPhone 5C;8;Blue;Grade B;0
23-MED303;19399;iPhone 5C;16;Blue;Grade B;0
23-MED304;19419;iPhone 5C;32;Blue;Grade B;0
23-MED305;16657;iPhone 5C;8;Green;Grade B;0
23-MED306;19411;iPhone 5C;16;Green;Grade B;0
23-MED307;19430;iPhone 5C;32;Green;Grade B;0
23-MED308;19444;iPhone 5C;8;Yellow;Grade B;0
23-MED309;19403;iPhone 5C;16;Yellow;Grade B;0
23-MED310;19423;iPhone 5C;32;Yellow;Grade B;0
23-MED311;16655;iPhone 5C;8;Pink;Grade B;0
23-MED312;29528;iPhone 5C;16;Pink;Grade B;0
23-MED313;19427;iPhone 5C;32;Pink;Grade B;0
23-PRE284;19434;iPhone 5C;8;White;Grade A;0
23-PRE285;19394;iPhone 5C;16;White;Grade A;0
23-PRE286;19414;iPhone 5C;32;White;Grade A;0
23-PRE287;19438;iPhone 5C;8;Blue;Grade A;0
23-PRE288;19655;iPhone 5C;16;Blue;Grade A;0
23-PRE289;19418;iPhone 5C;32;Blue;Grade A;0
23-PRE290;24563;iPhone 5C;8;Green;Grade A;0
23-PRE291;21021;iPhone 5C;16;Green;Grade A;0
23-PRE292;24242;iPhone 5C;32;Green;Grade A;0
23-PRE293;19442;iPhone 5C;8;Yellow;Grade A;0
23-PRE294;19402;iPhone 5C;16;Yellow;Grade A;0
23-PRE295;19422;iPhone 5C;32;Yellow;Grade A;0
23-PRE296;19447;iPhone 5C;8;Pink;Grade A;0
23-PRE297;19664;iPhone 5C;16;Pink;Grade A;0
23-PRE298;19426;iPhone 5C;32;Pink;Grade A;0
24-BAS362;9661;iPhone 5S;16;Grey;Grade C;0
24-BAS363;15945;iPhone 5S;32;Grey;Grade C;0
24-BAS364;16273;iPhone 5S;64;Grey;Grade C;0
24-BAS365;9660;iPhone 5S;16;Silver;Grade C;0
24-BAS366;16051;iPhone 5S;32;Silver;Grade C;0
24-BAS367;16272;iPhone 5S;64;Silver;Grade C;0
24-BAS368;9659;iPhone 5S;16;Gold;Grade C;0
24-BAS369;15952;iPhone 5S;32;Gold;Grade C;0
24-BAS370;16443;iPhone 5S;64;Gold;Grade C;0
24-ECO371;19458;iPhone 5S;16;Grey;Grade D;0
24-ECO372;19474;iPhone 5S;32;Grey;Grade D;0
24-ECO373;30502;iPhone 5S;64;Grey;Grade D;0
24-ECO374;30516;iPhone 5S;16;Silver;Grade D;0
24-ECO375;19483;iPhone 5S;32;Silver;Grade D;0
24-ECO376;19491;iPhone 5S;64;Silver;Grade D;0
24-ECO377;30505;iPhone 5S;16;Gold;Grade D;0
24-ECO378;19479;iPhone 5S;32;Gold;Grade D;0
24-ECO379;19487;iPhone 5S;64;Gold;Grade D;0
24-MED353;19457;iPhone 5S;16;Grey;Grade B;0
24-MED354;19473;iPhone 5S;32;Grey;Grade B;0
24-MED355;30503;iPhone 5S;64;Grey;Grade B;0
24-MED356;20481;iPhone 5S;16;Silver;Grade B;0
24-MED357;19482;iPhone 5S;32;Silver;Grade B;0
24-MED358;19490;iPhone 5S;64;Silver;Grade B;0
24-MED359;19461;iPhone 5S;16;Gold;Grade B;0
24-MED360;19477;iPhone 5S;32;Gold;Grade B;0
24-MED361;19486;iPhone 5S;64;Gold;Grade B;0
24-PRE344;19658;iPhone 5S;16;Grey;Grade A;0
24-PRE346;30513;iPhone 5S;64;Grey;Grade A;0
24-PRE347;19466;iPhone 5S;16;Silver;Grade A;0
24-PRE348;19481;iPhone 5S;32;Silver;Grade A;0
24-PRE349;19489;iPhone 5S;64;Silver;Grade A;0
24-PRE350;23863;iPhone 5S;16;Gold;Grade A;0
24-PRE351;26776;iPhone 5S;32;Gold;Grade A;0
24-PRE352;19485;iPhone 5S;64;Gold;Grade A;0
25-BAS412;48247;iPhone SE;16;Grey;Grade C;0
25-BAS413;48254;iPhone SE;32;Grey;Grade C;249
25-BAS414;48273;iPhone SE;64;Grey;Grade C;0
25-BAS415;71987;iPhone SE;128;Grey;Grade C;0
25-BAS416;48286;iPhone SE;16;Pink;Grade C;45
25-BAS417;48258;iPhone SE;32;Pink;Grade C;110
25-BAS418;48245;iPhone SE;64;Pink;Grade C;9
25-BAS419;71997;iPhone SE;128;Pink;Grade C;4
25-BAS420;48272;iPhone SE;16;Silver;Grade C;0
25-BAS421;48262;iPhone SE;32;Silver;Grade C;12
25-BAS422;48281;iPhone SE;64;Silver;Grade C;0
25-BAS423;72007;iPhone SE;128;Silver;Grade C;0
25-BAS424;48278;iPhone SE;16;Gold;Grade C;0
25-BAS425;48251;iPhone SE;32;Gold;Grade C;16
25-BAS426;48267;iPhone SE;64;Gold;Grade C;0
25-BAS427;72002;iPhone SE;128;Gold;Grade C;11
25-ECO428;48250;iPhone SE;16;Grey;Grade D;0
25-ECO429;48255;iPhone SE;32;Grey;Grade D;47
25-ECO430;48274;iPhone SE;64;Grey;Grade D;0
25-ECO431;71986;iPhone SE;128;Grey;Grade D;0
25-ECO432;48287;iPhone SE;16;Pink;Grade D;58
25-ECO433;48259;iPhone SE;32;Pink;Grade D;50
25-ECO434;48248;iPhone SE;64;Pink;Grade D;19
25-ECO435;71996;iPhone SE;128;Pink;Grade D;0
25-ECO436;48275;iPhone SE;16;Silver;Grade D;0
25-ECO437;48263;iPhone SE;32;Silver;Grade D;0
25-ECO438;48283;iPhone SE;64;Silver;Grade D;0
25-ECO439;72006;iPhone SE;128;Silver;Grade D;0
25-ECO440;48282;iPhone SE;16;Gold;Grade D;0
25-ECO441;48252;iPhone SE;32;Gold;Grade D;2
25-ECO442;48268;iPhone SE;64;Gold;Grade D;0
25-ECO443;72001;iPhone SE;128;Gold;Grade D;2
25-MED396;48243;iPhone SE;16;Grey;Grade B;0
25-MED397;48253;iPhone SE;32;Grey;Grade B;124
25-MED398;48271;iPhone SE;64;Grey;Grade B;0
25-MED399;71993;iPhone SE;128;Grey;Grade B;0
25-MED400;48285;iPhone SE;16;Pink;Grade B;0
25-MED401;48257;iPhone SE;32;Pink;Grade B;77
25-MED402;48244;iPhone SE;64;Pink;Grade B;0
25-MED403;71998;iPhone SE;128;Pink;Grade B;17
25-MED404;48269;iPhone SE;16;Silver;Grade B;0
25-MED405;48261;iPhone SE;32;Silver;Grade B;0
25-MED406;48280;iPhone SE;64;Silver;Grade B;0
25-MED407;72008;iPhone SE;128;Silver;Grade B;0
25-MED408;48277;iPhone SE;16;Gold;Grade B;0
25-MED409;48249;iPhone SE;32;Gold;Grade B;12
25-MED410;48265;iPhone SE;64;Gold;Grade B;0
25-MED411;72003;iPhone SE;128;Gold;Grade B;4
25-PRE380;62177;iPhone SE;16;Grey;Grade A;0
25-PRE381;62196;iPhone SE;32;Grey;Grade A;43
25-PRE382;62220;iPhone SE;64;Grey;Grade A;2
25-PRE383;71994;iPhone SE;128;Grey;Grade A;0
25-PRE384;62180;iPhone SE;16;Pink;Grade A;4
25-PRE385;62207;iPhone SE;32;Pink;Grade A;70
25-PRE386;62221;iPhone SE;64;Pink;Grade A;0
25-PRE387;71999;iPhone SE;128;Pink;Grade A;18
25-PRE388;62195;iPhone SE;16;Silver;Grade A;0
25-PRE389;62216;iPhone SE;32;Silver;Grade A;12
25-PRE390;62222;iPhone SE;64;Silver;Grade A;0
25-PRE391;72010;iPhone SE;128;Silver;Grade A;15
25-PRE392;62189;iPhone SE;16;Gold;Grade A;0
25-PRE393;62214;iPhone SE;32;Gold;Grade A;4
25-PRE394;66567;iPhone SE;64;Gold;Grade A;0
25-PRE395;72004;iPhone SE;128;Gold;Grade A;24
26-BAS462;14600;iPhone 6 Plus;16;Grey;Grade C;0
26-BAS463;16062;iPhone 6 Plus;64;Grey;Grade C;0
26-BAS464;74762;iPhone 6 Plus;128;Grey;Grade C;0
26-BAS465;19538;iPhone 6 Plus;16;Silver;Grade C;0
26-BAS466;16061;iPhone 6 Plus;64;Silver;Grade C;0
26-BAS467;74767;iPhone 6 Plus;128;Silver;Grade C;0
26-BAS468;14601;iPhone 6 Plus;16;Gold;Grade C;0
26-BAS469;16060;iPhone 6 Plus;64;Gold;Grade C;0
26-BAS470;74757;iPhone 6 Plus;128;Gold;Grade C;0
26-ECO471;19532;iPhone 6 Plus;16;Grey;Grade D;0
26-ECO472;19545;iPhone 6 Plus;64;Grey;Grade D;0
26-ECO473;74763;iPhone 6 Plus;128;Grey;Grade D;0
26-ECO474;19540;iPhone 6 Plus;16;Silver;Grade D;0
26-ECO475;19553;iPhone 6 Plus;64;Silver;Grade D;0
26-ECO476;74768;iPhone 6 Plus;128;Silver;Grade D;0
26-ECO477;26777;iPhone 6 Plus;16;Gold;Grade D;0
26-ECO478;19549;iPhone 6 Plus;64;Gold;Grade D;0
26-ECO479;74758;iPhone 6 Plus;128;Gold;Grade D;0
26-MED453;19530;iPhone 6 Plus;16;Grey;Grade B;0
26-MED454;19544;iPhone 6 Plus;64;Grey;Grade B;0
26-MED455;74761;iPhone 6 Plus;128;Grey;Grade B;0
26-MED456;14599;iPhone 6 Plus;16;Silver;Grade B;0
26-MED457;19552;iPhone 6 Plus;64;Silver;Grade B;0
26-MED458;74766;iPhone 6 Plus;128;Silver;Grade B;0
26-MED459;19535;iPhone 6 Plus;16;Gold;Grade B;0
26-MED460;19548;iPhone 6 Plus;64;Gold;Grade B;0
26-MED461;74756;iPhone 6 Plus;128;Gold;Grade B;0
26-PRE444;37364;iPhone 6 Plus;16;Grey;Grade A;0
26-PRE445;19543;iPhone 6 Plus;64;Grey;Grade A;0
26-PRE446;74760;iPhone 6 Plus;128;Grey;Grade A;0
26-PRE447;37358;iPhone 6 Plus;16;Silver;Grade A;0
26-PRE448;19551;iPhone 6 Plus;64;Silver;Grade A;0
26-PRE449;74765;iPhone 6 Plus;128;Silver;Grade A;0
26-PRE450;19534;iPhone 6 Plus;16;Gold;Grade A;0
26-PRE451;19547;iPhone 6 Plus;64;Gold;Grade A;0
26-PRE452;74755;iPhone 6 Plus;128;Gold;Grade A;0
27-BAS512;31177;iPhone 6s Plus;16;Grey;Grade C;86
27-BAS513;72568;iPhone 6s Plus;32;Grey;Grade C;260
