reference;IDP;Model;Capacity;Color;Grade;Ireland Stock
27-BAS514;30742;iPhone 6s Plus;64;Grey;Grade C;164
27-BAS515;43911;iPhone 6s Plus;128;Grey;Grade C;56
27-BAS516;31179;iPhone 6s Plus;16;Pink;Grade C;0
27-BAS517;72573;iPhone 6s Plus;32;Pink;Grade C;186
27-BAS518;43893;iPhone 6s Plus;64;Pink;Grade C;40
27-BAS519;43906;iPhone 6s Plus;128;Pink;Grade C;66
27-BAS520;31107;iPhone 6s Plus;16;Silver;Grade C;9
27-BAS521;72586;iPhone 6s Plus;32;Silver;Grade C;56
27-BAS522;36317;iPhone 6s Plus;64;Silver;Grade C;6
27-BAS523;43890;iPhone 6s Plus;128;Silver;Grade C;31
27-BAS524;32491;iPhone 6s Plus;16;Gold;Grade C;88
27-BAS525;72581;iPhone 6s Plus;32;Gold;Grade C;55
27-BAS526;18407;iPhone 6s Plus;64;Gold;Grade C;114
27-BAS527;43898;iPhone 6s Plus;128;Gold;Grade C;59
27-ECO528;31199;iPhone 6s Plus;16;Grey;Grade D;0
27-ECO529;72569;iPhone 6s Plus;32;Grey;Grade D;69
27-ECO530;36314;iPhone 6s Plus;64;Grey;Grade D;131
27-ECO531;43912;iPhone 6s Plus;128;Grey;Grade D;63
27-ECO532;31192;iPhone 6s Plus;16;Pink;Grade D;0
27-ECO533;72574;iPhone 6s Plus;32;Pink;Grade D;37
27-ECO534;43894;iPhone 6s Plus;64;Pink;Grade D;38
27-ECO535;43907;iPhone 6s Plus;128;Pink;Grade D;34
27-ECO536;31185;iPhone 6s Plus;16;Silver;Grade D;3
27-ECO537;72588;iPhone 6s Plus;32;Silver;Grade D;4
27-ECO538;36318;iPhone 6s Plus;64;Silver;Grade D;6
27-ECO539;43891;iPhone 6s Plus;128;Silver;Grade D;25
27-ECO540;32495;iPhone 6s Plus;16;Gold;Grade D;59
27-ECO541;72582;iPhone 6s Plus;32;Gold;Grade D;11
27-ECO542;41226;iPhone 6s Plus;64;Gold;Grade D;48
27-ECO543;43900;iPhone 6s Plus;128;Gold;Grade D;33
27-MED496;31197;iPhone 6s Plus;16;Grey;Grade B;5
27-MED497;72567;iPhone 6s Plus;32;Grey;Grade B;166
27-MED498;35450;iPhone 6s Plus;64;Grey;Grade B;5
27-MED499;43910;iPhone 6s Plus;128;Grey;Grade B;0
27-MED500;31187;iPhone 6s Plus;16;Pink;Grade B;2
27-MED501;72572;iPhone 6s Plus;32;Pink;Grade B;86
27-MED502;43892;iPhone 6s Plus;64;Pink;Grade B;6
27-MED503;43905;iPhone 6s Plus;128;Pink;Grade B;1
27-MED504;31183;iPhone 6s Plus;16;Silver;Grade B;2
27-MED505;72584;iPhone 6s Plus;32;Silver;Grade B;31
27-MED506;36316;iPhone 6s Plus;64;Silver;Grade B;0
27-MED507;43889;iPhone 6s Plus;128;Silver;Grade B;10
27-MED508;32493;iPhone 6s Plus;16;Gold;Grade B;1
27-MED509;72578;iPhone 6s Plus;32;Gold;Grade B;71
27-MED510;41224;iPhone 6s Plus;64;Gold;Grade B;2
27-MED511;43899;iPhone 6s Plus;128;Gold;Grade B;1
27-PRE480;31244;iPhone 6s Plus;16;Grey;Grade A;0
27-PRE481;72585;iPhone 6s Plus;32;Grey;Grade A;10
27-PRE482;34270;iPhone 6s Plus;64;Grey;Grade A;3
27-PRE483;51810;iPhone 6s Plus;128;Grey;Grade A;5
27-PRE484;31254;iPhone 6s Plus;16;Pink;Grade A;0
27-PRE485;72587;iPhone 6s Plus;32;Pink;Grade A;34
27-PRE486;51859;iPhone 6s Plus;64;Pink;Grade A;4
27-PRE487;51861;iPhone 6s Plus;128;Pink;Grade A;0
27-PRE488;31256;iPhone 6s Plus;16;Silver;Grade A;0
27-PRE489;72590;iPhone 6s Plus;32;Silver;Grade A;0
27-PRE490;36315;iPhone 6s Plus;64;Silver;Grade A;1
27-PRE491;51809;iPhone 6s Plus;128;Silver;Grade A;0
27-PRE492;34269;iPhone 6s Plus;16;Gold;Grade A;5
27-PRE493;72589;iPhone 6s Plus;32;Gold;Grade A;3
27-PRE494;19574;iPhone 6s Plus;64;Gold;Grade A;1
27-PRE495;48857;iPhone 6s Plus;128;Gold;Grade A;4
28-BAS574;72624;iPhone 7 Plus;32;Black;Grade C;0
28-BAS575;72628;iPhone 7 Plus;128;Black;Grade C;129
28-BAS576;72626;iPhone 7 Plus;256;Black;Grade C;29
28-BAS577;54717;iPhone 7 Plus;32;Pink;Grade C;0
28-BAS578;54727;iPhone 7 Plus;128;Pink;Grade C;30
28-BAS579;54746;iPhone 7 Plus;256;Pink;Grade C;6
28-BAS580;54748;iPhone 7 Plus;32;Silver;Grade C;0
28-BAS581;54742;iPhone 7 Plus;128;Silver;Grade C;15
28-BAS582;54745;iPhone 7 Plus;256;Silver;Grade C;0
28-BAS583;54725;iPhone 7 Plus;32;Jet Black;Grade C;0
28-BAS584;54720;iPhone 7 Plus;128;Jet Black;Grade C;294
28-BAS585;54760;iPhone 7 Plus;256;Jet Black;Grade C;0
28-BAS586;54736;iPhone 7 Plus;32;Gold;Grade C;0
28-BAS587;54732;iPhone 7 Plus;128;Gold;Grade C;14
28-BAS588;54753;iPhone 7 Plus;256;Gold;Grade C;24
28-ECO589;72629;iPhone 7 Plus;32;Black;Grade D;0
28-ECO590;72631;iPhone 7 Plus;128;Black;Grade D;3
28-ECO591;72632;iPhone 7 Plus;256;Black;Grade D;0
28-ECO592;54718;iPhone 7 Plus;32;Pink;Grade D;0
28-ECO593;54728;iPhone 7 Plus;128;Pink;Grade D;24
28-ECO594;54750;iPhone 7 Plus;256;Pink;Grade D;0
28-ECO595;54749;iPhone 7 Plus;32;Silver;Grade D;0
28-ECO596;54743;iPhone 7 Plus;128;Silver;Grade D;1
28-ECO597;54757;iPhone 7 Plus;256;Silver;Grade D;0
28-ECO598;54729;iPhone 7 Plus;32;Jet Black;Grade D;0
28-ECO599;54721;iPhone 7 Plus;128;Jet Black;Grade D;83
28-ECO600;54761;iPhone 7 Plus;256;Jet Black;Grade D;0
28-ECO601;54739;iPhone 7 Plus;32;Gold;Grade D;0
28-ECO602;54733;iPhone 7 Plus;128;Gold;Grade D;0
28-ECO603;54754;iPhone 7 Plus;256;Gold;Grade D;0
28-MED559;72625;iPhone 7 Plus;32;Black;Grade B;0
28-MED560;72621;iPhone 7 Plus;128;Black;Grade B;0
28-MED561;72627;iPhone 7 Plus;256;Black;Grade B;0
28-MED562;54715;iPhone 7 Plus;32;Pink;Grade B;0
28-MED563;54726;iPhone 7 Plus;128;Pink;Grade B;1
28-MED564;54741;iPhone 7 Plus;256;Pink;Grade B;0
28-MED565;54747;iPhone 7 Plus;32;Silver;Grade B;0
28-MED566;54740;iPhone 7 Plus;128;Silver;Grade B;2
28-MED567;54756;iPhone 7 Plus;256;Silver;Grade B;0
28-MED568;54724;iPhone 7 Plus;32;Jet Black;Grade B;0
28-MED569;54719;iPhone 7 Plus;128;Jet Black;Grade B;1
28-MED570;54759;iPhone 7 Plus;256;Jet Black;Grade B;0
28-MED571;54735;iPhone 7 Plus;32;Gold;Grade B;0
28-MED572;54731;iPhone 7 Plus;128;Gold;Grade B;0
28-MED573;54752;iPhone 7 Plus;256;Gold;Grade B;0
28-PRE544;72623;iPhone 7 Plus;32;Black;Grade A;0
28-PRE545;72622;iPhone 7 Plus;128;Black;Grade A;0
28-PRE546;72620;iPhone 7 Plus;256;Black;Grade A;0
28-PRE547;61796;iPhone 7 Plus;32;Pink;Grade A;0
28-PRE548;61792;iPhone 7 Plus;128;Pink;Grade A;1
28-PRE549;61802;iPhone 7 Plus;256;Pink;Grade A;0
28-PRE550;61804;iPhone 7 Plus;32;Silver;Grade A;0
28-PRE551;61790;iPhone 7 Plus;128;Silver;Grade A;0
28-PRE552;61799;iPhone 7 Plus;256;Silver;Grade A;1
28-PRE553;61797;iPhone 7 Plus;32;Jet Black;Grade A;0
28-PRE554;61776;iPhone 7 Plus;128;Jet Black;Grade A;0
28-PRE555;61788;iPhone 7 Plus;256;Jet Black;Grade A;0
28-PRE556;61803;iPhone 7 Plus;32;Gold;Grade A;0
28-PRE557;61791;iPhone 7 Plus;128;Gold;Grade A;1
28-PRE558;61800;iPhone 7 Plus;256;Gold;Grade A;0
29-BAS634;71867;iPhone 7;32;Black;Grade C;0
29-BAS635;71872;iPhone 7;128;Black;Grade C;91
29-BAS636;71877;iPhone 7;256;Black;Grade C;42
29-BAS637;54671;iPhone 7;32;Pink;Grade C;0
29-BAS638;54678;iPhone 7;128;Pink;Grade C;149
29-BAS639;54689;iPhone 7;256;Pink;Grade C;7
29-BAS640;54686;iPhone 7;32;Silver;Grade C;0
29-BAS641;54709;iPhone 7;128;Silver;Grade C;36
29-BAS642;54701;iPhone 7;256;Silver;Grade C;13
29-BAS643;54694;iPhone 7;32;Jet Black;Grade C;0
29-BAS644;54672;iPhone 7;128;Jet Black;Grade C;5
29-BAS645;54712;iPhone 7;256;Jet Black;Grade C;2
29-BAS646;54681;iPhone 7;32;Gold;Grade C;0
29-BAS647;54704;iPhone 7;128;Gold;Grade C;22
29-BAS648;54697;iPhone 7;256;Gold;Grade C;8
29-ECO649;71868;iPhone 7;32;Black;Grade D;0
29-ECO650;71873;iPhone 7;128;Black;Grade D;381
29-ECO651;71878;iPhone 7;256;Black;Grade D;56
29-ECO652;54673;iPhone 7;32;Pink;Grade D;0
29-ECO653;54680;iPhone 7;128;Pink;Grade D;84
29-ECO654;54691;iPhone 7;256;Pink;Grade D;8
29-ECO655;54688;iPhone 7;32;Silver;Grade D;0
29-ECO656;54710;iPhone 7;128;Silver;Grade D;58
29-ECO657;54702;iPhone 7;256;Silver;Grade D;9
29-ECO658;54695;iPhone 7;32;Jet Black;Grade D;0
29-ECO659;54674;iPhone 7;128;Jet Black;Grade D;22
29-ECO660;54713;iPhone 7;256;Jet Black;Grade D;32
29-ECO661;54682;iPhone 7;32;Gold;Grade D;0
29-ECO662;54705;iPhone 7;128;Gold;Grade D;56
29-ECO663;54698;iPhone 7;256;Gold;Grade D;3
29-MED619;71866;iPhone 7;32;Black;Grade B;0
29-MED620;71871;iPhone 7;128;Black;Grade B;0
29-MED621;71876;iPhone 7;256;Black;Grade B;0
29-MED622;54669;iPhone 7;32;Pink;Grade B;0
29-MED623;54677;iPhone 7;128;Pink;Grade B;0
29-MED624;54687;iPhone 7;256;Pink;Grade B;0
29-MED625;54685;iPhone 7;32;Silver;Grade B;0
29-MED626;54708;iPhone 7;128;Silver;Grade B;0
29-MED627;54700;iPhone 7;256;Silver;Grade B;0
29-MED628;54692;iPhone 7;32;Jet Black;Grade B;0
29-MED629;54670;iPhone 7;128;Jet Black;Grade B;0
29-MED630;54711;iPhone 7;256;Jet Black;Grade B;0
29-MED631;54679;iPhone 7;32;Gold;Grade B;0
29-MED632;54703;iPhone 7;128;Gold;Grade B;1
29-MED633;54696;iPhone 7;256;Gold;Grade B;11
29-PRE604;71865;iPhone 7;32;Black;Grade A;1
29-PRE605;71870;iPhone 7;128;Black;Grade A;0
29-PRE606;71875;iPhone 7;256;Black;Grade A;0
29-PRE607;61772;iPhone 7;32;Pink;Grade A;0
29-PRE608;61754;iPhone 7;128;Pink;Grade A;0
29-PRE609;39345;iPhone 7;256;Pink;Grade A;0
29-PRE610;61774;iPhone 7;32;Silver;Grade A;0
29-PRE611;61756;iPhone 7;128;Silver;Grade A;0
29-PRE612;61763;iPhone 7;256;Silver;Grade A;0
29-PRE613;61766;iPhone 7;32;Jet Black;Grade A;0
29-PRE614;61753;iPhone 7;128;Jet Black;Grade A;0
29-PRE615;61762;iPhone 7;256;Jet Black;Grade A;0
29-PRE616;61773;iPhone 7;32;Gold;Grade A;0
29-PRE617;61755;iPhone 7;128;Gold;Grade A;0
29-PRE618;61764;iPhone 7;256;Gold;Grade A;4
33-BAS672;31094;Galaxy S4;16;White;Grade C;0
33-BAS673;31099;Galaxy S4;16;Black;Grade C;0
33-BAS674;39057;Galaxy S4;16;Blue;Grade C;0
33-BAS675;38937;Galaxy S4;16;Pink;Grade C;0
33-ECO676;31095;Galaxy S4;16;White;Grade D;0
33-ECO677;31100;Galaxy S4;16;Black;Grade D;0
33-ECO678;39058;Galaxy S4;16;Blue;Grade D;0
33-ECO679;38951;Galaxy S4;16;Pink;Grade D;0
33-MED668;30078;Galaxy S4;16;White;Grade B;0
33-MED669;30056;Galaxy S4;16;Black;Grade B;0
33-MED670;39056;Galaxy S4;16;Blue;Grade B;0
33-MED671;38947;Galaxy S4;16;Pink;Grade B;0
33-PRE664;31096;Galaxy S4;16;White;Grade A;0
33-PRE665;31043;Galaxy S4;16;Black;Grade A;0
33-PRE666;51878;Galaxy S4;16;Blue;Grade A;0
33-PRE667;62264;Galaxy S4;16;Pink;Grade A;0
34-BAS1260;30100;Galaxy S4 Mini;8;White;Grade C;0
34-BAS1261;62270;Galaxy S4 Mini;8;Black;Grade C;0
34-ECO1262;62274;Galaxy S4 Mini;8;White;Grade D;0
34-ECO1263;62271;Galaxy S4 Mini;8;Black;Grade D;0
34-MED1258;62273;Galaxy S4 Mini;8;White;Grade B;0
34-MED1259;30097;Galaxy S4 Mini;8;Black;Grade B;0
34-PRE1256;51880;Galaxy S4 Mini;8;White;Grade A;0
34-PRE1257;51879;Galaxy S4 Mini;8;Black;Grade A;0
35-BAS1272;32644;Galaxy S5 G900;16;White;Grade C;0
35-BAS1273;35792;Galaxy S5 G900;16;Black;Grade C;0
35-BAS1274;64552;Galaxy S5 G900;16;Blue;Grade C;0
35-BAS1275;30741;Galaxy S5 G900;16;Gold;Grade C;0
35-ECO1276;32646;Galaxy S5 G900;16;White;Grade D;0
35-ECO1277;35793;Galaxy S5 G900;16;Black;Grade D;0
35-ECO1278;64553;Galaxy S5 G900;16;Blue;Grade D;0
35-ECO1279;35791;Galaxy S5 G900;16;Gold;Grade D;0
35-MED1268;30010;Galaxy S5 G900;16;White;Grade B;0
35-MED1269;30021;Galaxy S5 G900;16;Black;Grade B;0
35-MED1270;64547;Galaxy S5 G900;16;Blue;Grade B;0
35-MED1271;35708;Galaxy S5 G900;16;Gold;Grade B;0
35-PRE1264;7184;Galaxy S5 G900;16;White;Grade A;0
35-PRE1265;7183;Galaxy S5 G900;16;Black;Grade A;0
35-PRE1266;64545;Galaxy S5 G900;16;Blue;Grade A;0
35-PRE1267;36678;Galaxy S5 G900;16;Gold;Grade A;0
36-BAS720;72985;Galaxy S5 Mini;16;White;Grade C;0
36-BAS721;72975;Galaxy S5 Mini;16;Black;Grade C;0
36-BAS722;72980;Galaxy S5 Mini;16;Blue;Grade C;0
36-BAS723;72990;Galaxy S5 Mini;16;Gold;Grade C;0
36-ECO724;72986;Galaxy S5 Mini;16;White;Grade D;0
36-ECO725;72976;Galaxy S5 Mini;16;Black;Grade D;0
36-ECO726;72981;Galaxy S5 Mini;16;Blue;Grade D;0
36-ECO727;72991;Galaxy S5 Mini;16;Gold;Grade D;0
36-MED716;72984;Galaxy S5 Mini;16;White;Grade B;0
36-MED717;72974;Galaxy S5 Mini;16;Black;Grade B;0
36-MED718;72979;Galaxy S5 Mini;16;Blue;Grade B;0
36-MED719;72989;Galaxy S5 Mini;16;Gold;Grade B;0
36-PRE712;72983;Galaxy S5 Mini;16;White;Grade A;0
36-PRE713;72973;Galaxy S5 Mini;16;Black;Grade A;0
36-PRE714;72978;Galaxy S5 Mini;16;Blue;Grade A;0
36-PRE715;72988;Galaxy S5 Mini;16;Gold;Grade A;0
37-BAS734;31511;Galaxy S6 G920;32;White;Grade C;0
37-BAS735;32103;Galaxy S6 G920;32;Black;Grade C;0
37-BAS736;32102;Galaxy S6 G920;32;Blue;Grade C;0
37-ECO738;31508;Galaxy S6 G920;32;Black;Grade D;0
37-ECO739;62361;Galaxy S6 G920;32;Blue;Grade D;0
37-MED731;31494;Galaxy S6 G920;32;White;Grade B;0
37-MED732;31493;Galaxy S6 G920;32;Black;Grade B;0
37-MED733;62277;Galaxy S6 G920;32;Blue;Grade B;0
37-PRE728;34550;Galaxy S6 G920;32;White;Grade A;0
37-PRE729;34552;Galaxy S6 G920;32;Black;Grade A;0
37-PRE730;34551;Galaxy S6 G920;32;Blue;Grade A;0
38-BAS742;64588;Galaxy S6 Edge G925;32;Gold;Grade C;0
38-ECO743;64592;Galaxy S6 Edge G925;32;Gold;Grade D;0
38-MED741;64586;Galaxy S6 Edge G925;32;Gold;Grade B;0
38-PRE740;64585;Galaxy S6 Edge G925;32;Gold;Grade A;0
39-BAS752;62364;Galaxy S6 Edge Plus G928;32;White;Grade C;0
39-BAS753;54290;Galaxy S6 Edge Plus G928;32;Black;Grade C;0
39-BAS754;71424;Galaxy S6 Edge Plus G928;32;Silver;Grade C;1
39-BAS755;54292;Galaxy S6 Edge Plus G928;32;Gold;Grade C;0
39-ECO756;62368;Galaxy S6 Edge Plus G928;32;White;Grade D;0
39-ECO757;54293;Galaxy S6 Edge Plus G928;32;Black;Grade D;0
39-ECO758;71425;Galaxy S6 Edge Plus G928;32;Silver;Grade D;0
39-ECO759;54289;Galaxy S6 Edge Plus G928;32;Gold;Grade D;0
39-MED748;31498;Galaxy S6 Edge Plus G928;32;White;Grade B;0
39-MED749;31497;Galaxy S6 Edge Plus G928;32;Black;Grade B;1
39-MED750;71423;Galaxy S6 Edge Plus G928;32;Silver;Grade B;0
39-MED751;54291;Galaxy S6 Edge Plus G928;32;Gold;Grade B;0
39-PRE744;62373;Galaxy S6 Edge Plus G928;32;White;Grade A;0
39-PRE745;47581;Galaxy S6 Edge Plus G928;32;Black;Grade A;0
39-PRE746;71422;Galaxy S6 Edge Plus G928;32;Silver;Grade A;0
39-PRE747;62352;Galaxy S6 Edge Plus G928;32;Gold;Grade A;0
40-BAS770;65396;Galaxy S7 G930;32;White;Grade C;0
40-BAS771;65473;Galaxy S7 G930;32;Black;Grade C;0
40-BAS772;65479;Galaxy S7 G930;32;Pink;Grade C;0
40-BAS773;74786;Galaxy S7 G930;32;Silver;Grade C;1
40-BAS774;65466;Galaxy S7 G930;32;Gold;Grade C;0
40-ECO775;65399;Galaxy S7 G930;32;White;Grade D;0
40-ECO776;65474;Galaxy S7 G930;32;Black;Grade D;0
40-ECO777;65480;Galaxy S7 G930;32;Pink;Grade D;0
40-ECO778;74787;Galaxy S7 G930;32;Silver;Grade D;9
40-ECO779;65467;Galaxy S7 G930;32;Gold;Grade D;0
40-MED765;65392;Galaxy S7 G930;32;White;Grade B;0
40-MED766;65470;Galaxy S7 G930;32;Black;Grade B;0
40-MED767;65478;Galaxy S7 G930;32;Pink;Grade B;2
40-MED768;74784;Galaxy S7 G930;32;Silver;Grade B;0
40-MED769;65465;Galaxy S7 G930;32;Gold;Grade B;0
40-PRE760;65385;Galaxy S7 G930;32;White;Grade A;0
40-PRE761;65468;Galaxy S7 G930;32;Black;Grade A;0
40-PRE762;65475;Galaxy S7 G930;32;Pink;Grade A;0
40-PRE763;74785;Galaxy S7 G930;32;Silver;Grade A;0
40-PRE764;65438;Galaxy S7 G930;32;Gold;Grade A;0
41-BAS790;65368;Galaxy S7 Edge G935;32;White;Grade C;0
41-BAS791;65380;Galaxy S7 Edge G935;32;Black;Grade C;20
41-BAS792;65407;Galaxy S7 Edge G935;32;Pink;Grade C;5
41-BAS793;65463;Galaxy S7 Edge G935;32;Silver;Grade C;1
41-BAS794;65394;Galaxy S7 Edge G935;32;Gold;Grade C;33
41-ECO795;65369;Galaxy S7 Edge G935;32;White;Grade D;0
41-ECO796;65382;Galaxy S7 Edge G935;32;Black;Grade D;0
41-ECO797;65408;Galaxy S7 Edge G935;32;Pink;Grade D;0
41-ECO798;65464;Galaxy S7 Edge G935;32;Silver;Grade D;0
41-ECO799;65397;Galaxy S7 Edge G935;32;Gold;Grade D;0
41-MED785;65367;Galaxy S7 Edge G935;32;White;Grade B;0
41-MED786;65378;Galaxy S7 Edge G935;32;Black;Grade B;33
41-MED787;65406;Galaxy S7 Edge G935;32;Pink;Grade B;6
41-MED788;65462;Galaxy S7 Edge G935;32;Silver;Grade B;0
41-MED789;65390;Galaxy S7 Edge G935;32;Gold;Grade B;27
41-PRE780;65362;Galaxy S7 Edge G935;32;White;Grade A;0
41-PRE781;65364;Galaxy S7 Edge G935;32;Black;Grade A;6
41-PRE782;65401;Galaxy S7 Edge G935;32;Pink;Grade A;6
41-PRE783;65452;Galaxy S7 Edge G935;32;Silver;Grade A;1
41-PRE784;65384;Galaxy S7 Edge G935;32;Gold;Grade A;13
74-BAS820;76465;iPad mini Wifi;64;White;Grade C;0
74-BAS821;76470;iPad mini Wifi;16;Black;Grade C;0
74-BAS822;76468;iPad mini Wifi;32;Black;Grade C;0
74-BAS823;76466;iPad mini Wifi;64;Black;Grade C;0
74-BAS824;76469;iPad mini Cellular;16;Silver;Grade C;0
74-BAS825;76467;iPad mini Wifi;32;Silver;Grade C;0
74-ECO829;77321;iPad mini Wifi;64;White;Grade D;0
74-ECO830;77296;iPad mini Wifi;16;Black;Grade D;1
74-ECO831;77306;iPad mini Wifi;32;Black;Grade D;0
74-ECO832;77316;iPad mini Wifi;64;Black;Grade D;0
74-ECO833;77301;iPad mini Wifi;16;Silver;Grade D;1
74-ECO834;77311;iPad mini Wifi;32;Silver;Grade D;0
74-MED811;77320;iPad mini Wifi;64;White;Grade B;0
74-MED812;77295;iPad mini Wifi;16;Black;Grade B;0
74-MED813;77305;iPad mini Wifi;32;Black;Grade B;0
74-MED814;77315;iPad mini Wifi;64;Black;Grade B;0
74-MED815;77300;iPad mini Wifi;16;Silver;Grade B;0
74-MED816;77310;iPad mini Wifi;32;Silver;Grade B;0
74-PRE802;77319;iPad mini Wifi;64;White;Grade A;0
74-PRE803;77294;iPad mini Wifi;16;Black;Grade A;0
74-PRE804;77304;iPad mini Wifi;32;Black;Grade A;0
74-PRE806;77299;iPad mini Wifi;16;Silver;Grade A;0
74-PRE807;77309;iPad mini Wifi;32;Silver;Grade A;0
74-PRE826;77314;iPad mini Wifi;64;Black;Grade A;0
75-BAS1284;76464;iPad mini 2 Wifi;32;Silver;Grade C;0
75-BAS1285;76463;iPad mini 2 Wifi;32;Black;Grade C;0
75-ECO1286;77331;iPad mini 2 Wifi;32;Silver;Grade D;0
